Part Name,Quantity,Price,Link
WS2812B NEOPIXEL 8-LED bar ,7,"67,68TL",https://www.motorobit.com/neopixel-8-strip?srsltid=AfmBOopdEwYdDkDE3HSC9Wk_xPwSGU9OyZpjVMXi9Wb-l_rRFIBxIILJ
"ESP32-WROOM CP2102",1,268 TL,https://www.robotronik.com.tr/esp32-wroom-cp2102-wifi-ve-bluetooth-modulu---38-pin-type-c-a0819
